74.5330 	EXP 	fixation: autoDraw = True
75.5190 	EXP 	grating: autoDraw = True
75.5363 	EXP 	fixation: autoDraw = False
75.8206 	EXP 	grating: autoDraw = False
76.2787 	EXP 	New trial (rep=29, index=0): None
76.2820 	DATA 	Keypress: down
76.2878 	EXP 	fixation: autoDraw = False
76.2878 	EXP 	grating: autoDraw = False
76.2878 	EXP 	grating: ori = 0.0
76.2878 	EXP 	fixation: autoDraw = True
77.2904 	EXP 	fixation: autoDraw = False
77.2904 	EXP 	grating: autoDraw = True
77.5916 	EXP 	grating: autoDraw = False
78.1638 	EXP 	New trial (rep=30, index=0): None
78.1666 	DATA 	Keypress: up
78.1763 	EXP 	fixation: autoDraw = False
78.1763 	EXP 	grating: autoDraw = False
78.1763 	EXP 	grating: ori = 0.0
78.1763 	EXP 	fixation: autoDraw = True
79.1627 	EXP 	grating: autoDraw = True
79.1793 	EXP 	fixation: autoDraw = False
79.4630 	EXP 	grating: autoDraw = False
79.8852 	EXP 	New trial (rep=31, index=0): None
79.8880 	DATA 	Keypress: up
79.8980 	EXP 	fixation: autoDraw = False
79.8980 	EXP 	grating: autoDraw = False
79.8980 	EXP 	grating: ori = 3.0
79.8980 	EXP 	fixation: autoDraw = True
80.8839 	EXP 	grating: autoDraw = True
80.9001 	EXP 	fixation: autoDraw = False
81.1850 	EXP 	grating: autoDraw = False
81.6565 	EXP 	New trial (rep=32, index=0): None
81.6592 	DATA 	Keypress: down
81.6689 	EXP 	fixation: autoDraw = False
81.6689 	EXP 	grating: autoDraw = False
81.6689 	EXP 	grating: ori = 0.0
81.6689 	EXP 	fixation: autoDraw = True
82.6549 	EXP 	grating: autoDraw = True
82.6717 	EXP 	fixation: autoDraw = False
82.9556 	EXP 	grating: autoDraw = False
83.5612 	EXP 	New trial (rep=33, index=0): None
83.5638 	DATA 	Keypress: up
83.5740 	EXP 	fixation: autoDraw = False
83.5740 	EXP 	grating: autoDraw = False
83.5740 	EXP 	grating: ori = 0.0
83.5740 	EXP 	fixation: autoDraw = True
84.5600 	EXP 	grating: autoDraw = True
84.5768 	EXP 	fixation: autoDraw = False
84.8614 	EXP 	grating: autoDraw = False
85.6661 	EXP 	New trial (rep=34, index=0): None
85.6688 	DATA 	Keypress: up
85.6798 	EXP 	fixation: autoDraw = False
85.6798 	EXP 	grating: autoDraw = False
85.6798 	EXP 	grating: ori = -2.0
85.6798 	EXP 	fixation: autoDraw = True
86.6655 	EXP 	grating: autoDraw = True
86.6824 	EXP 	fixation: autoDraw = False
86.9673 	EXP 	grating: autoDraw = False
87.3709 	EXP 	New trial (rep=35, index=0): None
87.3735 	DATA 	Keypress: down
87.3842 	EXP 	fixation: autoDraw = False
87.3842 	EXP 	grating: autoDraw = False
87.3842 	EXP 	grating: ori = 0.0
87.3842 	EXP 	fixation: autoDraw = True
88.3707 	EXP 	grating: autoDraw = True
88.3875 	EXP 	fixation: autoDraw = False
88.6714 	EXP 	grating: autoDraw = False
88.9945 	EXP 	New trial (rep=36, index=0): None
88.9977 	DATA 	Keypress: down
89.0049 	EXP 	fixation: autoDraw = False
89.0049 	EXP 	grating: autoDraw = False
89.0049 	EXP 	grating: ori = 4.0
89.0049 	EXP 	fixation: autoDraw = True
90.0083 	EXP 	fixation: autoDraw = False
90.0083 	EXP 	grating: autoDraw = True
90.3089 	EXP 	grating: autoDraw = False
90.6473 	EXP 	New trial (rep=37, index=0): None
90.6499 	DATA 	Keypress: down
90.6596 	EXP 	fixation: autoDraw = False
90.6596 	EXP 	grating: autoDraw = False
90.6596 	EXP 	grating: ori = 3.0
90.6596 	EXP 	fixation: autoDraw = True
91.6460 	EXP 	grating: autoDraw = True
91.6628 	EXP 	fixation: autoDraw = False
91.9467 	EXP 	grating: autoDraw = False
92.2848 	EXP 	New trial (rep=38, index=0): None
92.2877 	DATA 	Keypress: down
92.2972 	EXP 	fixation: autoDraw = False
92.2972 	EXP 	grating: autoDraw = False
92.2972 	EXP 	grating: ori = 0.0
92.2972 	EXP 	fixation: autoDraw = True
93.2836 	EXP 	grating: autoDraw = True
93.3003 	EXP 	fixation: autoDraw = False
93.5845 	EXP 	grating: autoDraw = False
93.8378 	EXP 	New trial (rep=39, index=0): None
93.8404 	DATA 	Keypress: down
93.8515 	EXP 	fixation: autoDraw = False
93.8515 	EXP 	grating: autoDraw = False
93.8515 	EXP 	grating: ori = 0.0
93.8515 	EXP 	fixation: autoDraw = True
94.8380 	EXP 	grating: autoDraw = True
94.8541 	EXP 	fixation: autoDraw = False
95.1384 	EXP 	grating: autoDraw = False
95.4117 	EXP 	New trial (rep=40, index=0): None
95.4147 	DATA 	Keypress: down
95.4222 	EXP 	fixation: autoDraw = False
95.4222 	EXP 	grating: autoDraw = False
95.4222 	EXP 	grating: ori = 2.0
95.4222 	EXP 	fixation: autoDraw = True
96.4252 	EXP 	fixation: autoDraw = False
96.4252 	EXP 	grating: autoDraw = True
96.7263 	EXP 	grating: autoDraw = False
97.1636 	EXP 	New trial (rep=41, index=0): None
97.1662 	DATA 	Keypress: down
97.1772 	EXP 	fixation: autoDraw = False
97.1772 	EXP 	grating: autoDraw = False
97.1772 	EXP 	grating: ori = 0.0
97.1772 	EXP 	fixation: autoDraw = True
98.1630 	EXP 	grating: autoDraw = True
98.1804 	EXP 	fixation: autoDraw = False
98.4643 	EXP 	grating: autoDraw = False
98.8219 	EXP 	New trial (rep=42, index=0): None
98.8250 	DATA 	Keypress: down
98.8315 	EXP 	fixation: autoDraw = False
98.8315 	EXP 	grating: autoDraw = False
98.8315 	EXP 	grating: ori = 0.0
98.8315 	EXP 	fixation: autoDraw = True
99.8344 	EXP 	fixation: autoDraw = False
99.8344 	EXP 	grating: autoDraw = True
100.1349 	EXP 	grating: autoDraw = False
100.7909 	EXP 	New trial (rep=43, index=0): None
